B1	B2	B3	N_l1	N_l2	N_l3	N_t	C_l1	C_l2	C_l3	C_t	Diff(C_t - N_t)	LessThanZero
1	4	64	125403	154932	104172	1671	126515	147181	13281	1679	8	no
1	4	64	125953	158280	18870	1356	126538	151466	6949	1504	148	no
1	4	64	125596	155491	104162	1666	126720	146183	484	1658	-8	yes
1	4	64	125491	157535	19878	1509	125578	156203	7800	1523	14	no
1	4	64	125900	159805	40663	1470	126817	156634	23859	1592	122	no
1	4	64	125988	158877	41502	1401	126576	153446	22088	1555	154	no
1	4	64	125452	156388	41784	1595	125561	154020	19607	1752	157	no
1	4	64	125467	165953	70900	1740	126496	159097	58491	1889	149	no
1	8	1	126143	152235	31797	1351	132269	133861	12398	4528	3177	no
1	8	1	125555	159530	104446	1872	134128	140249	38374	5916	4044	no
1	8	1	125488	156965	32211	1458	137389	137215	14733	4563	3105	no
1	8	1	125597	157328	60310	1777	136076	138277	36694	6056	4279	no
1	8	1	125965	161797	16907	1353	144963	159904	16231	4821	3468	no
1	8	1	125583	161568	104041	1734	132305	139016	1158	5225	3491	no
1	8	1	125597	158019	19698	1384	131015	136599	17716	4642	3258	no
1	8	1	125578	155598	42594	1747	156554	170163	29299	6161	4414	no
1	8	1	126201	154533	16417	1300	135502	136676	5971	4497	3197	no
1	8	1	126074	154911	41139	1639	136557	136161	30193	5510	3871	no
1	8	2	125529	162029	17983	1456	132597	140239	7877	3421	1965	no
1	8	2	125535	160117	62791	1740	132396	139064	32750	4366	2626	no
1	8	2	125565	157172	15072	1400	132369	136486	5920	3355	1955	no
1	8	2	125474	157605	41336	1703	133375	138054	36448	4127	2424	no
1	8	2	125540	156300	16738	1481	130512	135893	8135	3405	1924	no
1	8	2	125909	155418	17278	1382	135136	135530	7185	3405	2023	no
1	8	2	126304	162771	102609	1658	132915	140611	49690	4525	2867	no
1	8	2	125562	152304	19540	1472	129965	132193	8084	3411	1939	no
1	8	2	125559	156004	16418	1476	133270	134321	8263	3476	2000	no
1	8	2	125487	158521	104129	1744	130767	136543	28623	4441	2697	no
1	8	4	125523	156269	16720	1445	132718	134827	6061	2827	1382	no
1	8	4	126312	163238	45740	1550	136039	141816	28403	3076	1526	no
1	8	4	125571	158456	15711	1443	136754	136122	6464	2815	1372	no
1	8	4	125526	153273	20003	1572	130398	133007	28989	3431	1859	no
1	8	4	126095	164927	32911	1562	133748	145733	19606	2829	1267	no
1	8	4	125944	163896	103916	1816	142046	149534	37874	3967	2151	no
1	8	4	125563	161286	15770	1430	132777	140168	7115	2895	1465	no
1	8	4	125524	162212	16000	1442	132748	140044	6521	2826	1384	no
1	8	4	125918	165316	103801	1818	141582	144878	39136	3649	1831	no
1	8	4	125591	165018	17452	1445	129840	142492	6706	2843	1398	no
